Men's 2,500 metres Steeplechase;2500m Steeple (H);
3000m steeplechase men;3000m steeple (H);
4000m steeplechase men;4000m steeplechase (H);
Men's 4 x 100 metres Relay;Relais 4x100 metres (H);
Men's 4 x 400 metres Relay;Relais 4x400 metres (H);
Men's 400 metres;400 metres (H);
400 metres men;400 metres (H);
Men's 400 metres Hurdles;400 metres Haies (H);
400 metres hurdles men;400 metres haies (H);
Men's 5000m;5000m (H);
5000m team men;5000m par équipes (H);
Men's 10 mile Walk;10mile Marche (H);
Men's 4 mile, Team;4mile par équipe (H);
Men's 3 mile, Team;3mile par équipe (H);
Men's 3,500 metres Walk;3500m Marche (H);
Men's 3,000 metres Walk;3000m Marche (H);
Men's 5,000 metres, Team;5000m Marche par équipe (H);
Men's 3,000 metres, Team;3000m Marche par équipe (H);
Men's 10 kilometres Walk;10km Marche (H);
Men's 20 kilometres Walk;20km Marche (H);
Men's 50 kilometres Walk;50km Marche (H);
Men's 50 kilometres Race Walk;50km Marche (H);
Men's 800 metres;800 metres (H);
800 metres men;800 metres (H);
Men's Decathlon;Décathlon (H);
Men's Discus Throw;Lancer du Disque (H);
Men's Discus Throw, Both Hands;Lancer du Disque à 2 mains (H);
Men's Discus Throw, Greek Style;Lancer du Disque style grec (H);
Men's Hammer Throw;Lancer du Marteau (H);
Men's High Jump;Saut en Hauteur (H);
Men's Standing High Jump;saut en hauteur sans élan (H);
Men's Javelin Throw;Lancer du Javelot (H);
Men's Javelin Throw, Both Hands;Lancer du Javelot à 2 mains (H);
Men's Javelin Throw, Freestyle;Lancer du Javelot style libre (H);
Men's Long Jump;Saut en Longueur (H);
Men's Standing Long Jump;saut en longueur sans élan (H);
Men's Marathon;Marathon (H);
Men's Pole Vault;Saut à la Perche (H);
Men's Shot Put;Lancer du Poids (H);
Men's Shot Put, Both Hands;Lancer du Poids à 2 mains (H);
Men's All-Around Championship;Décathlon (H);
Men's 56-pound Weight Throw;Lancer du Poids 56 livres Hommes;
Men's 1,500 metres Walk;1500m marche (H);
Men's 1,600 metres Medley Relay;1600m relais (H);
Men's Cross-Country, Individual;Cross-country individuel (H);
Men's Cross-Country, Team;Cross-country par équipe (H);
Men's Pentathlon;Pentathlon (H);
Men's Pentathlon (Ancient);Pentathlon ancien (H);
Men's Stone Throw;Lancer de pierre (H);
Women's 10,000m;10,000m (F);
Women's 100 metres;100 metres (F);
Women's 80 metres Hurdles;80 mètres Haies (F);
Women's 100 metres Hurdles;100 mètres Haies (F);
Women's 1,500 metres;1,500 metres (F);
Women's 200 metres;200 metres (F);
Women's 10 kilometres Walk;10 kilomètres Marche (F);
Women's 20 kilometres Walk;20 kilomètres Marche (F);
Women's 3,000 metres Steeplechase;3000 mètres Steeple (F);
Women's 4 x 100 metres Relay;Relais 4x100 mètres (F);
Women's 4 x 400 metres Relay;Relais 4x400 mètres (F);
Women's 400 metres;400 mètres (F);
Women's 400 metres Hurdles;400 mètres Haies (F);
Women's 10,000 metres;10000 mètres (F);
Women's 5000 metres;5000 mètres (F);
Women's 800 metres;800 mètres (F);
Women's Discus Throw;Lancer du Disque (F);
Women's Hammer Throw;Lancer du Marteau (F);
Women's Heptathlon;Héptathlon (F);
Women's High Jump;Saut en Hauteur (F);
Women's Javelin Throw;Lancer du Javelot (F);
Women's Long Jump;Saut en Longueur (F);
Women's Marathon;Marathon (F);
Women's Pole Vault;Saut à la Perche (F);
Women's Shot Put;Lancer du Poids (F);
Women's Triple Jump;Triple Saut (F);
Women's Pentathlon;Pentathlon (F);
Men's Doubles;Double (H);
Men's Singles;Simple (H);
Mixed Doubles;Double Mixte;
Women's Doubles;Double (F);
Women's Singles;Simple (H);
Men's Baseball;Baseball (H);
Women's Softball;Softball (F);
Men's Basketball;Basketball (H);
Women's Basketball;Basketball (F);
Men's Two-Man Teams With Cesta;Cesta punta (H);
Men's Beach Volleyball;Beach Volleyball (H);
Women's Beach Volleyball;Beach Volleyball (F);
Men's Bantamweight;Poids coq (H);
Men's Featherweight;Poids plume (H);
Men's Flyweight;Poids Mouche (H);
Men's Heavyweight;Poids Lourd (H);
Men's Light-Flyweight;Poids mi-mouches (H);
Men's Light-Middleweight;Poids moyen (H);
Men's Light-Welterweight;Poids welter léger (H);
Men's Super-Heavyweight;poids Super Lourd(H);
Men's Welterweight;Poids Welter (H);
Women's Feather (54-57kg);Plume 54-57kg (F);
Women's Fly (48-51kg);Mouche 48-51kg (F);
Women's Light (57-60kg);Léger 57-60kg (F);
Women's Middle (69-75kg);Moyen 69-75kg (F);
Women's Welter (64-69kg);Welter 64-69kg (F);
-47,63kg flyweight men;- 47,63kg (poids mouche) (H);
+71,67kg heavyweight men;+ 71,67kg (poids lourd) (H);
47,63 52,16kg bantamweight men;47,63 - 52,16kg (poids coq) (H);
52,62kg bantamweight men;52,62kg (poids coq) (H);
52,16 56,7kg featherweight men;52,16 - 56,7kg (poids plume) (H);
52,62 57,15kg featherweight men;52,62 - 57,15kg (poids plume) (H);
56,7 61,24kg lightweight men;56,7 - 61,24kg (poids léger) (H);
57,15 63,5kg lightweight men;57,5 - 63,5kg (poids léger) (H);
61,24 65,77kg welterweight men;61,24 - 65,77kg (poids mi-moyen) (H);
63,5 71,67kg middleweight men;63,5 - 71,67kg (poids mi-moyen) (H);
65,77 71,67kg middleweight men;65,77 - 71,67kg (poids moyen) (H);
Men's Canadian Doubles, 1,000 metres;Canadien en double, 1,000 metres (H);
Men's Canadian Doubles, 10,000 metres;Canadien en double, 10,000 metres (H);
Men's Canadian Doubles, 500 metres;Canadien en double, 500 metres (H);
Men's Canadian Doubles, Slalom;Canadien en double, Slalom (H);
Men's Canadian Singles, 1,000 metres;Canadien individuel, 1,000 metres (H);
Men's Canadian Singles, 10,000 metres;Canadien individuel, 10,000 metres (H);
Men's Canadian Singles, 200 metres;Canadien individuel, 200 metres (H);
